Fecha,Nacionalidad,Femenino,Masculino,Total
2012-03,Iraq,0,2,2
2012-05,Iraq,0,1,1
2012-08,Iraq,2,0,2
2012-10,Iraq,7,5,12
2012-11,Iraq,0,1,1
2013-03,Iraq,0,2,2
2013-04,Iraq,0,18,18
2013-05,Iraq,1,1,2
2013-06,Iraq,0,1,1
2013-07,Iraq,0,1,1
2013-08,Iraq,2,19,21
2013-09,Iraq,0,1,1
2013-10,Iraq,0,9,9
2013-11,Iraq,1,3,4
2013-12,Iraq,0,2,2
2014-02,Iraq,0,1,1
2014-04,Iraq,0,8,8
2014-05,Iraq,2,0,2
2014-06,Iraq,0,1,1
2014-07,Iraq,1,3,4
2014-08,Iraq,0,1,1
2014-10,Iraq,1,1,2
2014-11,Iraq,0,1,1
2014-12,Iraq,0,2,2
2015-01,Iraq,0,23,23
2015-02,Iraq,0,3,3
2015-03,Iraq,0,1,1
2015-04,Iraq,0,1,1
2015-07,Iraq,1,8,9
2015-09,Iraq,0,5,5
2015-10,Iraq,0,1,1
2015-12,Iraq,0,1,1
2016-01,Iraq,0,2,2
2016-02,Iraq,0,2,2
2016-04,Iraq,1,0,1
2016-05,Iraq,1,1,2
2016-06,Iraq,0,2,2
2016-08,Iraq,0,2,2
2016-09,Iraq,0,2,2
2016-10,Iraq,0,3,3
2016-11,Iraq,0,2,2
2017-01,Iraq,1,2,3
2017-02,Iraq,1,2,3
2017-03,Iraq,0,3,3
2017-04,Iraq,0,4,4
2017-06,Iraq,1,0,1
2017-07,Iraq,1,3,4
2017-08,Iraq,0,1,1
2017-09,Iraq,0,2,2
2017-10,Iraq,1,0,1
2017-11,Iraq,0,1,1
2017-12,Iraq,0,2,2
2018-01,Iraq,0,2,2
2018-02,Iraq,0,2,2
2018-03,Iraq,1,3,4
2018-04,Iraq,1,2,3
2018-06,Iraq,1,3,4
2018-07,Iraq,3,2,5
2018-08,Iraq,1,6,7
2018-09,Iraq,1,2,3
2018-10,Iraq,0,1,1
2018-12,Iraq,0,3,3
2019-01,Iraq,1,6,7
2019-02,Iraq,1,0,1
2019-03,Iraq,0,3,3
2019-04,Iraq,0,3,3
2019-06,Iraq,1,1,2
2019-07,Iraq,3,7,10
2019-08,Iraq,1,4,5
2019-09,Iraq,0,2,2
2019-10,Iraq,3,0,3
2019-11,Iraq,1,0,1
2019-12,Iraq,2,3,5
2020-01,Iraq,0,1,1
2020-02,Iraq,1,1,2
2020-03,Iraq,0,2,2
2020-10,Iraq,0,1,1
2020-12,Iraq,1,0,1
2021-02,Iraq,0,1,1
2021-03,Iraq,0,1,1
2021-04,Iraq,0,1,1
2021-05,Iraq,0,1,1
2021-06,Iraq,0,1,1
2021-08,Iraq,1,3,4
2021-09,Iraq,0,1,1
2021-10,Iraq,0,3,3
2021-11,Iraq,0,1,1
2021-12,Iraq,1,0,1
2022-01,Iraq,1,1,2
2022-02,Iraq,0,1,1
2022-03,Iraq,1,0,1
2022-05,Iraq,0,1,1
2022-06,Iraq,1,0,1
2022-07,Iraq,1,0,1
2022-08,Iraq,0,4,4
2022-09,Iraq,1,0,1
2022-10,Iraq,0,1,1
2022-11,Iraq,0,2,2
2022-12,Iraq,0,6,6
2023-01,Iraq,1,3,4
2023-03,Iraq,0,1,1
2023-04,Iraq,0,5,5
2023-05,Iraq,1,3,4
2023-07,Iraq,1,2,3
2023-08,Iraq,0,3,3
2023-09,Iraq,1,1,2
2023-12,Iraq,0,2,2
2024-01,Iraq,0,2,2
2024-02,Iraq,0,2,2
2024-03,Iraq,0,1,1
2024-04,Iraq,0,2,2
2024-06,Iraq,1,2,3
2024-07,Iraq,0,1,1
2024-08,Iraq,0,1,1
2024-09,Iraq,0,2,2
2024-10,Iraq,0,4,4
2024-11,Iraq,1,5,6
2024-12,Iraq,0,2,2
2025-01,Iraq,1,1,2
2025-02,Iraq,0,7,7
2025-03,Iraq,0,6,6
2025-04,Iraq,0,3,3
2025-05,Iraq,0,1,1
2025-07,Iraq,1,2,3
2025-09,Iraq,1,1,2
2025-10,Iraq,0,1,1
2025-11,Iraq,3,1,4
2025-12,Iraq,1,2,3
